Stock Inicial
Producto   Cantidad
Amoladora    993
AMO096     8
AMO091     7
AMO089   102
AMO085    90
AMO077   122
AMO071    94
AMO068    66
AMO065    74
AMO062   120
AMO053    46
AMO052    24
AMO034    71
AMO028    46
AMO015    30
AMO009    48
AMO001    45

Arandela    1175
ARA097    97
ARA079   104
ARA078   107
ARA074    23
ARA070    64
ARA064    35
ARA060    47
ARA055   134
ARA047    60
ARA033    97
ARA030    90
ARA029    22
ARA022   114
ARA018    39
ARA016    34
ARA013    51
ARA006     9
ARA004    48

Martillo     873
MAR100    18
MAR093    20
MAR056    47
MAR054    17
MAR049   125
MAR046   113
MAR042    36
MAR039    25
MAR037    73
MAR035   110
MAR031    94
MAR020    68
MAR010    33
MAR002    94

Pala         970
PAL073   114
PAL067   130
PAL057    40
PAL051   137
PAL044    92
PAL038    90
PAL036   116
PAL026    32
PAL024    91
PAL019    85
PAL008    43

Serrucho    1285
SER098    47
SER095   138
SER088    72
SER083   120
SER080    50
SER076    16
SER075   113
SER069    75
SER059   121
SER050    26
SER043    86
SER040   135
SER027    42
SER025    38
SER023    99
SER014   107

Taladro      638
TAL090   128
TAL084    57
TAL082    74
TAL045    12
TAL041   115
TAL021    87
TAL011   127
TAL005    38

Tester      1398
TES099   102
TES094   133
TES092   140
TES087    21
TES086    83
TES081     8
TES072   121
TES066    49
TES063    61
TES061    84
TES058    35
TES048   133
TES032    68
TES017    37
TES012    83
TES007   136
TES003   104
SER050    26
SER043    86
SER040   135
SER027    42
SER025    38
SER023    99
SER014   107

Taladro      638
TAL090   128
TAL084    57
TAL082    74
TAL045    12
TAL041   115
TAL021    87
TAL011   127
TAL005    38

Tester      1398
TES099   102
TES094   133
TES092   140
TES087    21
TES086    83
TES081     8
TES072   121
TES066    49
TES063    61
TES061    84
TES058    35
TES048   133
TES032    68
TES017    37
TES012    83
TES007   136
TES003   104
